url,rating,topic,subtopic
https://www.politico.com/story/2019/03/21/trump-free-speech-college-1286517,1,Free Speech,Trump To Sign Executive Order Tying Federal Grants To Free Speech on Campus
https://www.wsj.com/articles/trump-to-issue-order-tying-federal-grants-to-free-speech-on-campus-11553127214,2,Free Speech,Trump To Sign Executive Order Tying Federal Grants To Free Speech on Campus
https://www.washingtontimes.com/news/2019/mar/21/trump-sign-executive-order-promoting-free-speech-c/,3,Free Speech,Trump To Sign Executive Order Tying Federal Grants To Free Speech on Campus
