url,rating,topic,subtopic
https://www.thecut.com/2019/03/an-awkward-kiss-changed-how-i-saw-joe-biden.html,0,Politics,Joe Biden Accused of Inappropriate Behavior Towards Women
https://www.foxnews.com/opinion/sean-hannity-dont-expect-creepy-joe-bidens-friends-in-the-media-to-hold-him-to-the-kavanaugh-standard,3,Politics,Joe Biden Accused of Inappropriate Behavior Towards Women
https://www.washingtonpost.com/opinions/joe-biden-needs-to-cut-it-out-so-does-the-mob/2019/04/01/b7f86eca-548b-11e9-814f-e2f46684196e_story.html?noredirect=on&utm_term=.ded121a83065,1,Politics,Joe Biden Accused of Inappropriate Behavior Towards Women
