url,rating,topic,subtopic
https://townhall.com/tipsheet/cortneyobrien/2019/04/12/democrats-call-trumps-federal-reserve-nominees-embarrassing-n2544642,4,US Senate,Herman Cain's Chances Of A Federal Reserve Appointment Diminish
https://www.reuters.com/article/us-usa-fed-cain/cains-fed-chances-in-peril-as-fourth-republican-opposes-trump-pick-idUSKCN1RN2PU,2,US Senate,Herman Cain's Chances Of A Federal Reserve Appointment Diminish
https://www.nytimes.com/2019/04/11/business/herman-cain-fed.html,1,US Senate,Herman Cain's Chances Of A Federal Reserve Appointment Diminish
