url,rating,topic,subtopic
https://edition.cnn.com/2019/03/24/politics/mueller-report-release/index.html,1,White House,Mueller Report Finds No Trump-Russian Collusion 
https://choice.npr.org/index.html?origin=https://www.npr.org/2019/03/24/706318191/trump-white-house-havent-seen-or-been-briefed-on-mueller-investigation-report,2,White House,Mueller Report Finds No Trump-Russian Collusion 
https://www.washingtontimes.com/news/2019/mar/24/robert-mueller-clears-donald-trump-russia-probe-wi/,3,White House,Mueller Report Finds No Trump-Russian Collusion 
