url,rating,topic,subtopic
https://www.reuters.com/article/us-britain-eu/no-deal-brexit-fears-rise-as-parliament-sinks-mays-deal-idUSKCN1RA0SW,2,Great Britain,May's Brexit Deal Fails for Third Time
https://www.theguardian.com/commentisfree/2019/mar/29/the-guardian-view-on-theresa-mays-defeat-three-strikes-and-out,1,Great Britain,May's Brexit Deal Fails for Third Time
https://www.washingtonexaminer.com/opinion/good-brexit-bad-brexit-no-brexit-at-all,3,Great Britain,May's Brexit Deal Fails for Third Time
