url,rating,topic,subtopic
https://www.foxnews.com/politics/trump-wields-first-presidential-veto-to-nix-border-emergency-rebuff,3,White House,Trump Issues Veto Over Emergency Declaration for Border Wall
https://www.wsj.com/articles/trump-to-discuss-border-policy-as-he-prepares-first-veto-11552672395,2,White House,Trump Issues Veto Over Emergency Declaration for Border Wall
https://www.washingtonpost.com/politics/trump-poised-to-issue-first-veto-of-his-presidency-over-emergency-declaration/2019/03/15/a8fe3a86-474c-11e9-aaf8-4512a6fe3439_story.html?noredirect=on&utm_term=.89c5fa18a11f,1,White House,Trump Issues Veto Over Emergency Declaration for Border Wall
