url,rating,topic,subtopic
https://www.nytimes.com/2019/03/24/us/politics/trump-robert-mueller.html,1,White House,Mueller Report Changes Landscape for Trump
https://www.washingtontimes.com/news/2019/mar/24/donald-trump-good-mood-after-mueller-vindication/,3,White House,Mueller Report Changes Landscape for Trump
https://eu.usatoday.com/story/news/politics/2019/03/25/mueller-report-changes-political-outlook-trump-democrats-obstruction-conspiracy/3261438002/,2,White House,Mueller Report Changes Landscape for Trump
