url,rating,topic,subtopic
https://www.washingtonpost.com/arts-entertainment/2019/03/26/charges-against-empire-actor-jussie-smollett-dropped-his-attorney-says/?noredirect=on&utm_term=.7c07b15ba988,1,Culture,Charges Against Jussie Smollett Dropped
https://eu.usatoday.com/story/life/people/2019/03/27/jussie-smollett-charges-dropped-whats-next-career/3281028002/,2,Culture,Charges Against Jussie Smollett Dropped
https://www.nationalreview.com/2019/03/jussie-smollett-case-prosecutors-drop-charges/,3,Culture,Charges Against Jussie Smollett Dropped
