url,rating,topic,subtopic
https://www.wsj.com/articles/trump-threatens-to-override-mexico-trade-deal-with-car-tariffs-unless-border-is-secured-11554479894,2,Immigration,Trump Visits Southern Border Deploying More Agents For Border Control
https://www.foxnews.com/politics/trump-declares-the-country-full-in-fox-news-interview-says-american-can-no-longer-accept-illegal-immigrants,3,Immigration,Trump Visits Southern Border Deploying More Agents For Border Control
https://www.politico.com/story/2019/04/06/trump-mexico-border-immigration-1260171,1,Immigration,Trump Visits Southern Border Deploying More Agents For Border Control
