url,rating,topic,subtopic
https://www.bbc.com/news/world-us-canada-47671715,2,Russia,Democrats Demands Mueller Report be Released to the Public
https://www.foxnews.com/politics/ag-barr-aims-to-release-mueller-report-top-line-conclusions-saturday-night-wont-parse-words-play-games,3,Russia,Democrats Demands Mueller Report be Released to the Public
https://www.washingtonpost.com/politics/democrats-respond-to-mueller-report-with-one-message-make-it-public-now/2019/03/22/a794e954-4ce9-11e9-b79a-961983b7e0cd_story.html?utm_term=.02193a4e2d91,1,Russia,Democrats Demands Mueller Report be Released to the Public
