url,rating,topic,subtopic
https://www1.cbn.com/cbnnews/us/2019/march/michigan-orders-faith-based-adoption-agencies-to-violate-their-religious-beliefs,4,LGBT Rights,Michigan to Stop Funding Adoption Agencies That Bar LGBT Couples
https://www.nbcnews.com/feature/nbc-out/michigan-deal-bars-lgbtq-discrimination-state-adoptions-n986391,1,LGBT Rights,Michigan to Stop Funding Adoption Agencies That Bar LGBT Couples
https://thehill.com/homenews/state-watch/435347-michigan-will-no-longer-fund-adoption-agencies-that-refuse-gay-parents,2,LGBT Rights,Michigan to Stop Funding Adoption Agencies That Bar LGBT Couples
