url,rating,topic,subtopic
https://www.nbcnews.com/news/us-news/college-cheating-mastermind-says-he-helped-nearly-800-families-admissions-n982666,1,General News,Dozens Charged In College Admissions Cheating Scheme 
https://www.foxnews.com/us/college-admissions-cheating-scheme-bizarre-details-from-the-complaint,3,General News,Dozens Charged In College Admissions Cheating Scheme 
https://www.wsj.com/articles/federal-prosecutors-charge-dozens-in-broad-college-admissions-fraud-scheme-11552403149?mod=hp_lead_pos5,2,General News,Dozens Charged In College Admissions Cheating Scheme 
