url,rating,topic,subtopic
https://www.apnews.com/1759ac2858ee4aafb041f91cbd6d86e9,2,National Security,Whistleblower Says Trump Admin Overturned 25 Security Clearance Denials
https://news.vice.com/en_us/article/d3mmky/drugs-crime-and-foreign-ties-arent-enough-to-deny-a-white-house-security-clearance-whistleblower-says,0,National Security,Whistleblower Says Trump Admin Overturned 25 Security Clearance Denials
https://dailycaller.com/2019/04/01/republicans-cast-doubt-white-house-security-clearance-whistleblower/,4,National Security,Whistleblower Says Trump Admin Overturned 25 Security Clearance Denials
