url,rating,topic,subtopic
https://www.theatlantic.com/politics/archive/2019/03/ilhan-omar-house-resolution-muslims-democratic-party/584374/,1,US House,House Votes to Condemn Bigotry After Remarks by Rep. Omar 
https://www.wsj.com/articles/house-to-vote-on-resolution-opposing-hate-on-thursday-11551973159,2,US House,House Votes to Condemn Bigotry After Remarks by Rep. Omar 
https://www.washingtontimes.com/news/2019/mar/7/anti-semitism-within-americas-gates/,3,US House,House Votes to Condemn Bigotry After Remarks by Rep. Omar 
