url,rating,topic,subtopic
https://www.newsmax.com/newsfront/us-congress-russia-probe/2019/04/01/id/909575/,4,US House,House Judiciary Committee To Subpoena Mueller Report
https://www.reuters.com/article/us-usa-trump-subpoenas/house-committee-poised-to-subpoena-mueller-report-idUSKCN1RD2AH,2,US House,House Judiciary Committee To Subpoena Mueller Report
https://www.washingtonpost.com/politics/house-judiciary-plans-vote-this-week-to-subpoena-muellers-report/2019/04/01/411e24a6-5469-11e9-8ef3-fbd41a2ce4d5_story.html?utm_term=.e4379ae82874,1,US House,House Judiciary Committee To Subpoena Mueller Report
