url,rating,topic,subtopic
https://townhall.com/tipsheet/guybenson/2019/04/02/mcconnell-due-to-unending-democratic-obstruction-its-time-to-fasttrack-trump-nominees-n2544093,4,US Senate,Senate Republicans Use 'Nuclear Option' to Advance Trump Nominees
https://www.politico.com/story/2019/04/03/senate-republicans-filibuster-1250082,1,US Senate,Senate Republicans Use 'Nuclear Option' to Advance Trump Nominees
https://www.wsj.com/articles/senate-gop-moves-to-brink-of-nuclear-option-on-appointees-11554240735,2,US Senate,Senate Republicans Use 'Nuclear Option' to Advance Trump Nominees
