url,rating,topic,subtopic
https://www.nationalreview.com/news/democrats-blast-paul-manaforts-light-prison-sentence/,4,Politics,Paul Manafort Sentenced to 47 Months in Prison
https://www.theatlantic.com/ideas/archive/2019/03/paul-manaforts-otherwise-blamess-life-crime/584419/,1,Politics,Paul Manafort Sentenced to 47 Months in Prison
https://www.reuters.com/article/us-usa-trump-russia-manafort/judge-gives-trump-ex-aide-manafort-leniency-under-four-years-in-prison-idUSKCN1QO17N,2,Politics,Paul Manafort Sentenced to 47 Months in Prison
