url,rating,topic,subtopic
https://eu.usatoday.com/story/news/politics/2019/04/08/judge-blocks-trump-policy-forcing-asylum-seekers-wait-mexico/3244127002/,2,Immigration,Federal Judge Blocks Trump Admin Policy Requiring Asylum Seekers to Wait in Mexico
https://www.buzzfeednews.com/article/hamedaleaziz/trumps-policy-asylum-wait-mexico-blocked-judge,1,Immigration,Federal Judge Blocks Trump Admin Policy Requiring Asylum Seekers to Wait in Mexico
https://townhall.com/tipsheet/bethbaumann/2019/04/08/judge-blocks-trump-administrations-asylum-policy-heres-why-n2544452,4,Immigration,Federal Judge Blocks Trump Admin Policy Requiring Asylum Seekers to Wait in Mexico
