url,rating,topic,subtopic
https://www.nytimes.com/2019/04/08/us/politics/trump-asylum-seekers-federal-judge.html,1,Immigration,"Trump Denies Reports That He Will Reinstate Family Separations, Blames Obama for Policy"
https://www.foxnews.com/politics/trump-says-no-plan-to-revive-family-separations-blames-obama-for-uproar,3,Immigration,"Trump Denies Reports That He Will Reinstate Family Separations, Blames Obama for Policy"
https://www.rollcall.com/news/whitehouse/trump-renews-misleading-claim-about-obama-and-child-separation-policy,2,Immigration,"Trump Denies Reports That He Will Reinstate Family Separations, Blames Obama for Policy"
