url,rating,topic,subtopic
https://www.theguardian.com/world/2019/mar/11/ethiopia-airline-crash-china-grounds-boeing-737-max-8-jets-in-wake-of-disaster,1,Transportation,China Grounds Boeing 737 Max 8 Flights
https://www.reuters.com/article/us-ethiopia-airlines-china/chinese-carriers-ethiopian-airlines-halt-use-of-boeing-737-max-8-aircraft-after-crash-idUSKBN1QS01Z,2,Transportation,China Grounds Boeing 737 Max 8 Flights
https://www.foxnews.com/travel/correction-ethiopia-plane-crash-the-latest-story,3,Transportation,China Grounds Boeing 737 Max 8 Flights
