url,rating,topic,subtopic
https://edition.cnn.com/2019/03/19/politics/michael-cohen-warrant-documents/index.html,1,FBI,FBI And Robert Mueller Started Investigating Michael Cohen A Year Before Raid
https://www.reuters.com/article/us-usa-trump-cohen/ex-trump-lawyer-cohens-emails-were-sought-in-mid-2017-filings-idUSKCN1R01S0,2,FBI,FBI And Robert Mueller Started Investigating Michael Cohen A Year Before Raid
https://www.newsmax.com/newsfront/michael-cohen-trump-lawyer-investigation/2019/03/19/id/907633/,4,FBI,FBI And Robert Mueller Started Investigating Michael Cohen A Year Before Raid
