url,rating,topic,subtopic
https://www.foxnews.com/politics/trump-threatens-to-close-southern-border-next-week-if-mexico-doesnt-immediately-stop-illegal-immigrants-from-trying-to-cross-into-us,3,Immigration,Trump Says He Will Close Border Next Week If Mexico Doesn't Stop Sending Migrants
https://edition.cnn.com/2019/03/29/politics/donald-trump-border-closure-again/index.html,1,Immigration,Trump Says He Will Close Border Next Week If Mexico Doesn't Stop Sending Migrants
https://www.wsj.com/articles/trump-threatens-to-close-border-if-mexico-doesnt-stop-illegal-entries-11553874917,2,Immigration,Trump Says He Will Close Border Next Week If Mexico Doesn't Stop Sending Migrants
