url,rating,topic,subtopic
https://eu.usatoday.com/story/news/nation/2019/04/02/chicago-mayors-race-history-black-woman-lori-lightfoot-toni-preckwinkle/3339248002/,2,Elections,Chicago Elects Lori Lightfoot As Mayor
https://www.foxnews.com/politics/polls-close-in-historic-chicago-mayoral-election-to-replace-rahm-emanuel,3,Elections,Chicago Elects Lori Lightfoot As Mayor
https://abcnews.go.com/Politics/lori-lightfoot-makes-history-chicagos-african-american-female/story?id=62127007&cid=clicksource_4380645_null_headlines_hed,1,Elections,Chicago Elects Lori Lightfoot As Mayor
