url,rating,topic,subtopic
https://townhall.com/tipsheet/leahbarkoukis/2019/03/26/mcconnell-will-force-vote-on-green-new-deal-tuesday-n2543750,4,US Senate,US Senate To Vote On Green New Deal
https://www.reuters.com/article/us-usa-climate-greennewdeal/us-republicans-set-green-new-deal-vote-in-bid-to-divide-democrats-idUSKCN1R71BZ,2,US Senate,US Senate To Vote On Green New Deal
https://edition.cnn.com/2019/03/25/politics/green-new-deal-senate-democrats-block/index.html,1,US Senate,US Senate To Vote On Green New Deal
