url,rating,topic,subtopic
https://thehill.com/homenews/campaign/434418-kirsten-gillibrand-officially-announces-white-house-run,2,Election: Presidential,Senator Kirsten Gillibrand Officially Announces Run for President
https://townhall.com/tipsheet/timothymeads/2019/03/17/sweet-sixteen-kirsten-gillibrand-becomes-the-latest-democratic-candidate-to-ente-n2543249,2,Election: Presidential,Senator Kirsten Gillibrand Officially Announces Run for President
https://www.huffpost.com/entry/kristen-gillibrand-2020-president-speech-trump_n_5c8d56d0e4b0db7da9f41497,0,Election: Presidential,Senator Kirsten Gillibrand Officially Announces Run for President
