url,rating,topic,subtopic
https://www.wsj.com/articles/herman-cain-would-bring-unconventional-views-to-fed-11554418398,2,Federal Budget,Herman Cain Nominated to the Fed
https://www.foxbusiness.com/politics/trump-expected-to-nominate-herman-cain-to-federal-reserve-report,3,Federal Budget,Herman Cain Nominated to the Fed
https://www.washingtonpost.com/opinions/herman-cain-has-baggage-and-some-quack-tastic-views/2019/04/04/f31a8e6e-5717-11e9-814f-e2f46684196e_story.html?utm_term=.df16cea64283,1,Federal Budget,Herman Cain Nominated to the Fed
