url,rating,topic,subtopic
https://www.cbsnews.com/news/beto-orourke-2020-running-for-president-former-texas-congressman-announces-today-twitter-video-2019-03-14/,1,Election: Presidential,Former Texas Representative Beto O'Rourke Launches 2020 Presidential Campaign
https://www.foxnews.com/opinion/why-beto-orourke-could-be-dems-2020-nominee-against-trump,3,Election: Presidential,Former Texas Representative Beto O'Rourke Launches 2020 Presidential Campaign
https://www.wsj.com/articles/democrat-beto-orourke-announces-candidacy-for-president-11552557796,2,Election: Presidential,Former Texas Representative Beto O'Rourke Launches 2020 Presidential Campaign
