url,rating,topic,subtopic
www1.cbn.com/cbnnews/politics/2019/march/pelosi-says-its-just-not-worth-it-to-impeach-trump-but-these-democrats-arent-giving-up,4,US House,Nancy Pelosi Says She Opposes Pursuing Impeachment of Donald Trump
https://www.wsj.com/articles/pelosi-opposes-pursuing-impeachment-of-trump-11552338051,2,US House,Nancy Pelosi Says She Opposes Pursuing Impeachment of Donald Trump
https://www.nytimes.com/2019/03/11/us/politics/pelosi-trump-impeachment.html,1,US House,Nancy Pelosi Says She Opposes Pursuing Impeachment of Donald Trump
