url,rating,topic,subtopic
https://spectator.org/scotus-gives-trump-a-big-win-on-immigration/,4,Supreme Court,Supreme Court Endorses Government Authority To Detain Immigrants
https://www.theguardian.com/law/2019/mar/19/supreme-court-gives-trump-victory-immigration-detention-criminal-convictions,1,Supreme Court,Supreme Court Endorses Government Authority To Detain Immigrants
https://www.washingtontimes.com/news/2019/mar/19/supreme-court-upholds-ice-detention-without-bail-s/,3,Supreme Court,Supreme Court Endorses Government Authority To Detain Immigrants
https://www.reuters.com/article/us-usa-court-immigration/trump-gets-a-u-s-supreme-court-victory-on-immigration-detention-idUSKCN1R01TF,2,Supreme Court,Supreme Court Endorses Government Authority To Detain Immigrants
