url,rating,topic,subtopic
https://www.washingtontimes.com/news/2019/mar/10/larry-kudlow-white-house-economic-adviser-foresees/,3,Budget - Debt,Trump to Demand Border Wall Money in Budget
https://thehill.com/homenews/administration/433370-trump-will-ask-for-86b-for-wall-in-budget-request-report,2,Budget - Debt,Trump to Demand Border Wall Money in Budget
https://www.washingtonpost.com/business/economy/trump-to-demand-86-billion-in-new-wall-funding-setting-up-fresh-battle-with-congress/2019/03/10/c5eec1e6-4342-11e9-90f0-0ccfeec87a61_story.html?utm_term=.954c34d6430a,1,Budget - Debt,Trump to Demand Border Wall Money in Budget
