url,rating,topic,subtopic
https://www.nbcnews.com/politics/congress/house-intel-republicans-call-schiff-resign-chairman-after-mueller-report-n988356,1,US House,Trump and GOP Lawmakers Call On Adam Schiff To Resign
https://www.reuters.com/article/us-usa-trump-russia/trump-republican-lawmakers-call-on-house-intelligence-chairman-to-resign-idUSKCN1R917C,2,US House,Trump and GOP Lawmakers Call On Adam Schiff To Resign
https://www.washingtontimes.com/news/2019/mar/28/adam-schiff-confronted-by-republicans-on-house-int/,3,US House,Trump and GOP Lawmakers Call On Adam Schiff To Resign
