url,rating,topic,subtopic
https://thehill.com/homenews/administration/435759-justice-department-sides-with-court-ruling-obamacare-invalid,2,Healthcare,Trump Admin Backs Court Ruling That Would Invalidate Obamacare 
https://www.washingtontimes.com/news/2019/mar/25/obamacare-unconstitutional-justice-department-dete/,3,Healthcare,Trump Admin Backs Court Ruling That Would Invalidate Obamacare 
https://www.politico.com/story/2019/03/25/trump-obamacare-justice-department-1236116,1,Healthcare,Trump Admin Backs Court Ruling That Would Invalidate Obamacare 
