url,rating,topic,subtopic
https://www.foxnews.com/politics/house-democrats-pass-sweeping-voting-rights-bill,3,US House,House Democrats Pass Election and Campaign Finance Overhaul Bill 
https://edition.cnn.com/2019/03/08/politics/house-democrats-hr1-ethics-tax-returns-voting-rights/index.html,1,US House,House Democrats Pass Election and Campaign Finance Overhaul Bill 
https://www.npr.org/2019/03/08/701455283/house-passes-extensive-election-and-campaign-finance-overhaul-bill,2,US House,House Democrats Pass Election and Campaign Finance Overhaul Bill 
