url,rating,topic,subtopic
https://www.newsmax.com/newsfront/syria-withdrawal-isis-islamic-state/2019/03/17/id/907416/,4,US Military,Reports Conflict Regarding Plans to Keep US Troops in Syria
https://edition.cnn.com/2019/03/17/politics/syria-us-troop-level/index.html,1,US Military,Reports Conflict Regarding Plans to Keep US Troops in Syria
https://www.wsj.com/articles/u-s-military-now-preparing-to-leave-as-many-as-1-000-troops-in-syria-11552853378,2,US Military,Reports Conflict Regarding Plans to Keep US Troops in Syria
