url,rating,topic,subtopic
https://www.washingtontimes.com/news/2019/mar/23/us-backed-syrian-force-declares-victory-over-islam/,3,ISIS,Fight Against Islamic State Not Over After US-Allied Syrian Force Declare Victory
https://www.wsj.com/articles/islamic-states-caliphate-is-gone-but-not-its-violent-extremism-11553439528?mod=hp_lead_pos7,2,ISIS,Fight Against Islamic State Not Over After US-Allied Syrian Force Declare Victory
https://www.nytimes.com/2019/03/24/us/politics/us-isis-fight.html?action=click&module=Top%20Stories&pgtype=Homepage,1,ISIS,Fight Against Islamic State Not Over After US-Allied Syrian Force Declare Victory
