url,rating,topic,subtopic
https://www.cbsnews.com/news/eric-swalwell-2020-california-congressman-tells-stephen-colbert-hes-running-for-president/,1,Election: Presidential,Congressman Eric Swalwell Of California Is Running For President
https://townhall.com/tipsheet/bethbaumann/2019/04/08/eric-nuke-them-swalwell-is-running-for-president-heres-peoples-instant-react-n2544468,4,Election: Presidential,Congressman Eric Swalwell Of California Is Running For President
https://thehill.com/homenews/campaign/437938-swalwell-announces-he-is-running-for-president,2,Election: Presidential,Congressman Eric Swalwell Of California Is Running For President
