url,rating,topic,subtopic
https://www.wsj.com/articles/trump-sees-no-vote-on-gop-health-plan-until-after-2020-election-11554212678,2,Healthcare,Trump Says No Vote On GOP Health Plan Until After The 2020 Election
https://edition.cnn.com/2019/04/02/politics/trump-health-care-2020-election/index.html,1,Healthcare,Trump Says No Vote On GOP Health Plan Until After The 2020 Election
https://www.washingtontimes.com/news/2019/apr/2/donald-trump-floats-obamacare-repeal-vote-after-20/,3,Healthcare,Trump Says No Vote On GOP Health Plan Until After The 2020 Election
