url,rating,topic,subtopic
https://thehill.com/homenews/media/433807-several-advertisers-cut-ties-to-fox-news-shows-hosted-by-pirro-carlson?fbclid=IwAR0SqHBqxVdQ79l8ZZHhVDPRZC5eG3ZgpwIeY7Fic0-hD2sGI4ixmNXH4jw,2,Media Bias,"Several Advertisers Pull Ads From Fox News Programs Hosted by Pirro, Carlson"
https://www.theguardian.com/commentisfree/2019/mar/13/fox-news-tucker-carlson-jeanine-pirro-comments,1,Media Bias,"Several Advertisers Pull Ads From Fox News Programs Hosted by Pirro, Carlson"
https://www.nationalreview.com/corner/the-astonishing-hypocrisy-of-media-matters/,4,Media Bias,"Several Advertisers Pull Ads From Fox News Programs Hosted by Pirro, Carlson"
