url,rating,topic,subtopic
https://www.nytimes.com/2019/03/30/climate/trump-oil-drilling-arctic.html,1,Environment,Federal Judge Finds Trump's Order to Oil Drilling in Open Arctic Waters Unlawful
https://www.washingtontimes.com/news/2019/mar/31/judge-sharon-gleason-tosses-trump-executive-order-/,3,Environment,Federal Judge Finds Trump's Order to Oil Drilling in Open Arctic Waters Unlawful
https://www.wsj.com/articles/court-blocks-trump-effort-to-open-arctic-waters-to-oil-drilling-11553984054,2,Environment,Federal Judge Finds Trump's Order to Oil Drilling in Open Arctic Waters Unlawful
