url,rating,topic,subtopic
https://www.foxnews.com/politics/nunes-files-bombshell-defamation-suit-against-twitter-seeks-250m-for-anti-conservative-shadow-bans-smears,3,Technology,"Devin Nunes Sues Twitter, Users for Over $250M Alleging Bias Against Conservatives"
https://thehill.com/homenews/house/434642-nunes-sues-twitter-users-for-more-than-250m,2,Technology,"Devin Nunes Sues Twitter, Users for Over $250M Alleging Bias Against Conservatives"
https://www.buzzfeednews.com/article/ryanmac/congressman-devin-nunes-sues-twitter-for-allowing-parody,1,Technology,"Devin Nunes Sues Twitter, Users for Over $250M Alleging Bias Against Conservatives"
