url,rating,topic,subtopic
https://www.politico.com/story/2019/03/12/senate-disapproval-border-emergency-1218135,1,Politics,GOP Seeks to Limit Presidential Emergency Declaration Powers While Ensuring $3.6B for Trump's Border Wall
https://www.washingtonexaminer.com/news/congress/republicans-look-to-limit-trumps-national-emergency-power-after-wall-funding-grab,3,Politics,GOP Seeks to Limit Presidential Emergency Declaration Powers While Ensuring $3.6B for Trump's Border Wall
https://www.apnews.com/93913bc0456849718587c8b7a176e748,2,Politics,GOP Seeks to Limit Presidential Emergency Declaration Powers While Ensuring $3.6B for Trump's Border Wall
